event,count,probability
2,16114,0.16399515566004133
5,10957,0.11151141371273879
9,8607,0.08759502946294996
1,8179,0.08323919437405225
10,7713,0.07849662626324307
0,7585,0.0771939466104886
8,5588,0.05687010859056168
3,5585,0.056839577036200246
Start,5582,0.056809045481838814
End,5582,0.056809045481838814
6,5582,0.056809045481838814
7,5582,0.056809045481838814
4,5582,0.056809045481838814
11,6,6.106310872286508e-05
12,4,4.070873914857672e-05
13,4,4.070873914857672e-05
14,4,4.070873914857672e-05
18,3,3.053155436143254e-05
