similarity,counts,sequence
-16.811652654119438,34836,0 6 0 7 2 5 2 5 2 1 4 3
-18.118765334034787,33117,0 6 7 2 5 2 5 2 1 4 3
-16.835242754925485,31956,0 6 0 5 2 7 2 5 2 1 4 3
-16.810198700202633,31862,0 6 0 5 2 5 2 7 2 1 4 3
-18.138558817244693,31025,0 6 5 2 7 2 5 2 1 4 3
-18.111588296773924,30652,0 6 5 2 5 2 7 2 1 4 3
-19.61321808088363,13323,0 6 0 7 2 5 2 5 2 1
-19.64073986515735,12211,0 6 0 5 2 7 2 5 2 1
-19.61152180131402,12075,0 6 0 5 2 5 2 7 2 1
-21.41267537776214,11027,0 6 7 2 5 2 5 2 1
-21.43606767610112,10298,0 6 5 2 7 2 5 2 1
-21.404193424635675,9888,0 6 5 2 5 2 7 2 1
-15.834120115263117,7416,0 6 0 7 2 1 5 2 5 2 1 4 3
-18.055514538990256,7199,6 0 1 5 2 7 2 5 2 4 3
-18.115981173891164,7191,6 0 1 7 2 5 2 5 2 4 3
-18.05739805067742,7085,6 0 1 5 2 5 2 7 2 4 3
-16.031998638071208,6727,0 6 0 7 2 5 2 1 5 2 1 4 3
-15.793016792331267,6669,0 6 0 5 2 7 2 1 5 2 1 4 3
-16.978043850980484,6166,0 6 7 2 1 5 2 5 2 1 4 3
-18.103027349994193,5908,6 0 7 2 5 2 5 2 1 4 3
-17.190056553989155,5786,0 6 7 2 5 2 1 5 2 1 4 3
-16.928794138585225,5721,0 6 5 2 7 2 1 5 2 1 4 3
-18.128432073939162,5415,6 0 5 2 7 2 5 2 1 4 3
-18.101461553468393,5215,6 0 5 2 5 2 7 2 1 4 3
-18.26979088783678,2822,0 6 0 7 2 1 5 2 5 2 1
-18.498112260307657,2668,0 6 0 7 2 5 2 1 5 2 1
-18.222363976761567,2635,0 6 0 5 2 7 2 1 5 2 1
-1.1473721263033994,2240,6 0 1 7 2 5 2 5 2 10 4 3
-20.054689297398294,2159,0 6 7 2 5 2 1 5 2 1
-19.749883146093712,2157,0 6 5 2 7 2 1 5 2 1
-19.80734114388818,2112,0 6 7 2 1 5 2 5 2 1
-21.394075942077805,2049,6 0 7 2 5 2 5 2 1
-1.1182685227894436,2034,6 0 1 5 2 7 2 5 2 10 4 3
-21.424099706740037,2000,6 0 5 2 7 2 5 2 1
-1.1174045061367908,1962,6 0 1 5 2 5 2 7 2 10 4 3
-21.392225455274588,1913,6 0 5 2 5 2 7 2 1
-0.4650689249325856,1796,6 0 1 5 2 5 2 7 2 9 8 9 10 4 3
-0.4645919154069088,1768,6 0 1 5 2 7 2 5 2 9 8 9 10 4 3
-0.4900945168605661,1695,6 0 1 7 2 5 2 5 2 9 8 9 10 4 3
-1.0877797429280744,1622,0 6 7 2 5 2 5 2 1 10 4 3
-1.0830874679982527,1600,0 6 5 2 5 2 7 2 1 10 4 3
-1.0032069477475354,1584,0 6 0 7 2 5 2 5 2 1 10 4 3
-1.1058219557666842,1558,0 6 5 2 7 2 5 2 1 10 4 3
-2.0152605027785366,1527,6 0 1 5 2 5 2 7 2 8 9 8 9 8 9 8 4 3
-2.0337280805505555,1513,6 0 1 7 2 5 2 5 2 8 9 8 9 8 9 8 4 3
-1.003690566450091,1501,0 6 0 5 2 5 2 7 2 1 10 4 3
-2.0196575054524897,1495,6 0 1 5 2 7 2 5 2 8 9 8 9 8 9 8 4 3
-1.0249094217006272,1442,0 6 0 5 2 7 2 5 2 1 10 4 3
-0.498701941175558,1437,6 0 1 5 2 7 2 5 2 9 8 10 4 3
-0.5257984552200687,1421,6 0 1 7 2 5 2 5 2 9 8 10 4 3
-0.4992087637965896,1375,6 0 1 5 2 5 2 7 2 9 8 10 4 3
-16.963430008657074,1359,6 0 7 2 1 5 2 5 2 1 4 3
-2.2826564250692667,1287,6 0 1 7 2 5 2 5 2 8 9 8 9 8 9 8 9 8 4 3
-2.269864993161934,1283,6 0 1 5 2 7 2 5 2 8 9 8 9 8 9 8 9 8 4 3
-1.0846500165142048,1279,0 6 0 7 2 5 2 5 2 1 8 9 8 9 4 3
-17.175442711665745,1237,6 0 7 2 5 2 1 5 2 1 4 3
-1.0806019400226157,1235,0 6 0 5 2 5 2 7 2 1 8 9 8 9 4 3
-16.91939073408723,1227,6 0 5 2 7 2 1 5 2 1 4 3
-1.1003045900268826,1197,0 6 0 5 2 7 2 5 2 1 8 9 8 9 4 3
-2.2658677180037947,1179,6 0 1 5 2 5 2 7 2 8 9 8 9 8 9 8 9 8 4 3
-1.6168363159469759,1153,6 0 1 5 2 7 2 5 2 8 9 8 9 8 9 4 3
