similarity,counts,sequence
-28.250304100900422,1,0 6 0 5 2 5 2 7 2 8 1 8 4 3 15
-0.8614690191342664,1,0 6 0 7 2 5 2 5 2 1 10 9 8 4 3 18 1 3
-0.8063834594721914,1,0 6 0 5 2 7 2 1 5 2 1 10 9 8 9 4 3 18 1 3
-22.736313272274135,1,0 6 0 2 7 2 1 5 2 5 1 10 9 8 9 4 3 15 3
-153.56375011063875,3,0 6 16 5 21 20 16
-0.7579569857792995,3,0 6 0 7 2 5 2 5 2 1 10 9 8 9 4 3 18 1 3
-29.561865280249798,1,0 6 7 5 2 5 2 1 10 9 8 4 3 15
-24.958287927300226,1,0 6 7 2 5 2 1 5 2 1 10 9 8 10 4 3 15
-22.40331405710024,1,0 6 5 2 7 2 1 5 2 1 10 9 8 9 10 4 3 15 3
-0.8272762725346777,2,0 6 0 5 2 7 2 1 5 2 1 10 9 8 10 4 3 18 1 3
-0.8245929462251247,2,0 6 5 2 5 2 7 2 1 10 9 8 10 4 3 18 1 3
-24.63994470807513,1,0 6 0 7 2 5 2 5 2 1 10 9 8 9 4 3 15
-23.430977911687467,1,0 6 0 7 2 5 2 5 2 1 10 9 8 10 4 3 15 3
-0.7407077314476598,1,0 6 0 7 2 5 2 5 2 1 10 9 8 9 10 4 3 18 1 3
-0.7801901366323011,2,0 6 0 5 2 5 2 7 2 1 10 9 8 10 4 3 18 1 3
-23.447254767152288,2,0 6 0 5 2 7 2 5 2 1 10 9 8 10 4 3 15 3
-0.7555048727793131,1,0 6 0 5 2 7 2 5 2 1 10 9 8 9 10 4 3 18 1 3
-0.7751925126018628,1,6 0 5 2 5 2 7 2 1 10 9 8 9 10 4 3 18 1 3
-21.54302076499909,1,0 6 0 7 2 5 2 1 5 2 1 10 9 8 9 10 4 3 15 3
-0.7877786738639753,1,0 6 0 5 2 7 2 1 5 2 1 10 9 8 9 10 4 3 18 1 3
-22.31135189223133,1,0 6 0 7 2 5 2 5 2 1 10 9 8 9 10 4 3 15 3
-0.9618989019253478,2,0 6 0 7 2 5 2 1 5 2 1 9 8 10 4 3 18 1 3
-24.68126991842624,1,0 6 0 5 2 7 2 5 2 1 10 9 8 10 4 3 15
-26.187823422777665,1,0 6 0 5 2 7 5 2 1 10 9 8 10 4 3 15
-0.7966177741128123,1,0 6 5 2 7 2 5 2 1 10 9 8 9 10 4 3 18 1 3
-23.443147997660354,3,0 6 0 5 2 7 2 5 2 1 10 9 8 9 10 4 3 15
-0.7798446947019043,1,0 6 0 7 2 5 2 5 2 1 10 9 8 10 4 3 18 1 3
-26.040761759809147,1,0 6 5 2 5 2 7 2 1 10 9 8 10 4 3 15
-0.7453668174289573,1,0 6 0 5 2 7 2 1 9 8 9 10 4 3 18 1 3
-0.8278775386760003,1,0 6 7 2 5 2 5 2 1 10 9 8 10 4 3 18 1 3
-24.66451819059687,1,0 6 0 5 2 5 2 7 2 1 10 9 8 10 4 3 15
-22.39704512076824,1,6 0 5 2 7 2 1 5 2 1 10 9 8 9 10 4 3 15 3
-0.8736435809807229,2,0 6 0 5 2 7 5 2 1 9 8 9 10 4 3 18 1 3
-0.9763953016301707,1,0 6 0 7 5 2 5 2 1 10 9 8 10 4 3 18 1 3
