similarity,counts,sequence
-50.0,1643,0 6
-50.0,1362,6 0 16
-50.0,1307,6 0
-50.0,1257,0 6 16
-76.90701704319405,612,0 6 0 16
-43.49250973478009,268,0 6 0 7 2 5 2 5 2 1 4 3 15 3
-46.404064529417425,239,0 6 7 2 5 2 5 2 1 4 3 15 3
-46.42121888153268,231,0 6 5 2 7 2 5 2 1 4 3 15 3
-43.513151072985366,222,0 6 0 5 2 7 2 5 2 1 4 3 15 3
-43.49123752510288,219,0 6 0 5 2 5 2 7 2 1 4 3 15 3
-46.397844430458015,202,0 6 5 2 5 2 7 2 1 4 3 15 3
-49.718571503451024,146,0 6 7 2 5 2 5 2 1 4 3 15
-46.39194592423562,130,0 6 0 7 2 5 2 5 2 1 4 3 15
-46.39058890057992,127,0 6 0 5 2 5 2 7 2 1 4 3 15
-49.71190711170878,123,0 6 5 2 5 2 7 2 1 4 3 15
-49.736951166431645,116,0 6 5 2 7 2 5 2 1 4 3 15
-46.413963351654594,107,0 6 0 5 2 7 2 5 2 1 4 3 15
-43.6381020320335,55,0 6 7 2 1 5 2 5 2 1 4 3 15 3
-41.060518842809174,54,0 6 0 7 2 1 5 2 5 2 1 4 3 15 3
-46.350879550507706,49,6 0 1 5 2 5 2 7 2 4 3 15 3
-41.23511753940455,49,0 6 0 7 2 5 2 1 5 2 1 4 3 15 3
-43.82361314716609,46,0 6 7 2 5 2 1 5 2 1 4 3 15 3
-41.024251204928134,45,0 6 0 5 2 7 2 1 5 2 1 4 3 15 3
-46.39042494324891,42,6 0 7 2 5 2 5 2 1 4 3 15 3
-46.349247173712165,42,6 0 1 5 2 7 2 5 2 4 3 15 3
-43.59500853368765,41,0 6 5 2 7 2 1 5 2 1 4 3 15 3
-46.41244237066789,39,6 0 5 2 7 2 5 2 1 4 3 15 3
-23.9721265196602,38,0 6 5 2 7 2 5 2 1 13 12 0 14 11 1 3 4 3
-46.38906791959322,37,6 0 5 2 5 2 7 2 1 4 3 15 3
-94.93281786676684,37,0 6 0 17 5 2 17 5 2 17 7 2 1 4 3
-46.40165159062629,36,6 0 1 7 2 5 2 5 2 4 3 15 3
-49.66158759747632,35,6 0 1 5 2 5 2 7 2 4 3 15
-24.44017067453343,34,0 6 7 2 5 2 5 2 1 13 12 0 11 14 1 3 4 3
-33.26493979696182,33,0 6 5 2 5 2 7 2 1 19 4 3
-46.39784443045802,32,0 6 5 2 5 2 7 2 1 19 1 4 3
-31.063460524557424,32,0 6 0 5 2 7 2 5 2 1 19 4 3
-23.955279113511327,31,0 6 5 2 5 2 7 2 1 13 12 0 14 11 1 3 4 3
-94.9395261236022,30,0 6 0 17 5 2 17 7 2 17 5 2 1 4 3
-24.381805237459353,30,0 6 5 2 5 2 7 2 1 13 12 0 11 14 1 3 4 3
-33.28998385168468,29,0 6 5 2 7 2 5 2 1 19 4 3
-46.42121888153267,29,0 6 5 2 7 2 5 2 1 19 1 4 3
-46.40406452941742,28,0 6 7 2 5 2 5 2 1 19 1 4 3
-43.81225195480813,28,0 6 0 7 2 5 2 1 5 2 1 4 3 15
-31.041443097138448,26,0 6 0 7 2 5 2 5 2 1 19 4 3
-100.84809722751272,26,0 6 17 7 2 17 5 2 17 5 2 1 4 3
-100.84096970462515,26,0 6 17 5 2 17 5 2 17 7 2 1 4 3
-49.659838622338235,25,6 0 1 5 2 7 2 5 2 4 3 15
-31.04008607348276,25,0 6 0 5 2 5 2 7 2 1 19 4 3
-46.50127797640368,25,0 6 5 2 7 2 1 5 2 1 4 3 15
-94.9395261236022,25,0 6 0 17 7 2 17 5 2 17 5 2 1 4 3
-49.715986211889074,25,6 0 1 7 2 5 2 5 2 4 3 15
-33.27160418870405,24,0 6 7 2 5 2 5 2 1 19 4 3
-43.62674083967555,24,0 6 0 7 2 1 5 2 5 2 1 4 3 15
-24.013644550585397,24,0 6 7 2 5 2 5 2 1 13 12 0 14 11 1 3 4 3
-43.513151072985366,23,0 6 0 5 2 7 2 5 2 1 19 1 4 3
-49.72754776193364,23,6 0 5 2 7 2 5 2 1 4 3 15
-100.84809722751274,23,0 6 17 5 2 17 7 2 17 5 2 1 4 3
-43.588206474426926,23,0 6 0 5 2 7 2 1 5 2 1 4 3 15
-43.492509734780086,23,0 6 0 7 2 5 2 5 2 1 19 1 4 3
-46.745122897447345,21,0 6 7 2 5 2 1 5 2 1 4 3 15
-24.398652643608226,21,0 6 5 2 7 2 5 2 1 13 12 0 11 14 1 3 4 3
-25.27752057956358,20,0 6 7 2 5 2 5 2 1 13 12 0 14 11 1 4 3
-25.726495446877287,19,0 6 7 2 5 2 5 2 1 13 12 0 11 14 1 4 3
-46.547244374639256,19,0 6 7 2 1 5 2 5 2 1 4 3 15
-43.49123752510286,18,0 6 0 5 2 5 2 7 2 1 19 1 4 3
-49.7039576611276,18,6 0 7 2 5 2 5 2 1 4 3 15
-31.051981607199426,17,6 0 1 5 2 5 2 7 2 1 19 4 3
-41.21935901272922,17,0 6 0 5 2 5 2 7 2 1 13 12 0 11 14 1 3 4 3 15 3
-49.702503707210795,16,6 0 5 2 5 2 7 2 1 4 3 15
-35.81670202076986,16,0 6 0 7 2 5 2 5 2 1 19
-24.004603941346396,15,0 6 0 7 2 5 2 5 2 1 13 12 0 14 11 1 4 3
-29.76004260529527,14,6 0 1 5 2 5 2 7 2 10 4 3 15 3
-25.665058144694058,14,0 6 5 2 5 2 7 2 1 13 12 0 11 14 1 4 3
-24.43113006529443,14,0 6 0 7 2 5 2 5 2 1 13 12 0 11 14 1 4 3
-23.922723501876355,13,0 6 0 7 2 5 2 5 2 1 13 0 12 11 14 1 4 3
-107.5978282609446,13,0 6 0 17 5 2 17 7 2 17 5 2 1
-24.55740008276877,13,6 0 1 5 2 5 2 7 2 8 9 8 9 8 9 4 3 15
-37.2869451983912,13,0 6 7 2 5 2 5 2 1 13 0 12 14 11 1 4 3
-115.25464538950963,12,0 6 17 7 2 17 5 2 17 5 2 1
-43.1509287313399,12,0 6 7 2 5 2 5 2 1 13 12 0 11 14 1 3 4 3 15 3
-24.653852122245432,12,6 0 1 5 2 5 2 7 2 9 8 9 10 4 3 15 3
-25.68279225642971,12,0 6 5 2 7 2 5 2 1 13 12 0 11 14 1 4 3
-41.266939995856426,11,0 6 0 7 2 5 2 5 2 1 13 12 0 11 14 1 3 4 3 15 3
-49.70394858675552,11,0 6 0 5 2 5 2 7 2 1 19 1
-29.730015196924047,11,0 6 5 2 5 2 7 2 1 10 4 3 15 3
-43.097869243090734,11,0 6 5 2 5 2 7 2 1 13 12 0 11 14 1 3 4 3 15 3
-25.98888710310685,11,0 6 0 5 2 5 2 7 2 1 9 8 4 3 15 3
-31.744787401660947,11,6 0 1 5 2 7 2 5 2 10 4 3 15
-29.734120937487642,10,0 6 7 2 5 2 5 2 1 10 4 3 15 3
-40.89604771416248,10,0 6 0 7 2 5 2 5 2 1 13 12 0 14 11 1 3 4 3 15 3
-29.23564443927196,10,0 6 0 7 2 1 5 2 5 2 1 19 4 3
-24.003414860959012,10,6 0 7 2 5 2 5 2 1 13 12 0 14 11 1 3 4 3
-25.216083277380342,10,0 6 5 2 5 2 7 2 1 13 12 0 14 11 1 4 3
-29.749907873721426,10,0 6 5 2 7 2 5 2 1 10 4 3 15 3
-31.150775149306515,10,0 6 5 2 7 2 1 5 2 1 19 4 3
-37.243242007943614,10,0 6 5 2 7 2 5 2 1 13 0 12 14 11 1 4 3
-43.810826035133104,10,6 0 7 2 5 2 1 5 2 1 4 3 15 3
-25.19133064327933,10,0 6 7 2 5 2 5 2 1 13 0 12 11 14 1 4 3
-23.96673321689899,10,0 6 0 5 2 7 2 5 2 1 13 12 0 14 11 1 4 3
-25.233817389115995,10,0 6 5 2 7 2 5 2 1 13 12 0 14 11 1 4 3
-44.79935030078075,9,0 6 7 2 5 2 5 2 1 13 12 0 14 11 1 3 4 15 3
-42.725434045091504,9,0 6 5 2 7 2 5 2 1 13 12 0 14 11 1 3 4 3 15 3
-24.393259340847017,9,0 6 0 5 2 7 2 5 2 1 13 12 0 11 14 1 4 3
-29.72275974512969,9,0 6 0 7 2 5 2 5 2 1 10 4 3 15
-43.11318506686244,9,0 6 5 2 7 2 5 2 1 13 12 0 11 14 1 3 4 3 15 3
-46.39042494324891,9,6 0 7 2 5 2 5 2 1 19 1 4 3
-24.67624344133889,9,6 0 1 7 2 5 2 5 2 9 8 9 10 4 3 15 3
-107.59782826094458,9,0 6 0 17 7 2 17 5 2 17 5 2 1
-35.842106744714826,9,0 6 0 5 2 7 2 5 2 1 19
-68.02330632131432,9,0 6 0 7 2 5 2 5 2 1 4 3 15 3 15
-49.70540254067233,9,0 6 0 7 2 5 2 5 2 1 19 1
-29.78626427294105,9,6 0 1 7 2 5 2 5 2 10 4 3 15 3
-26.051655215685013,9,6 0 1 7 2 5 2 5 2 9 8 10 4 3 15 3
-26.0280199344197,9,6 0 1 5 2 5 2 7 2 9 8 10 4 3 15 3
-40.84846673103528,9,0 6 0 5 2 5 2 7 2 1 13 12 0 14 11 1 3 4 3 15 3
-29.76079861986633,9,6 0 1 5 2 7 2 5 2 10 4 3 15 3
-42.763177709568964,9,0 6 7 2 5 2 5 2 1 13 12 0 14 11 1 3 4 3 15 3
-46.47635272664088,8,6 0 7 2 1 5 2 5 2 4 3 15 3
-42.705053705440456,8,0 6 0 5 2 5 2 7 2 1 13 12 0 14 11 1 3 4 15 3
-31.10840082535898,8,6 0 1 7 2 5 2 5 2 1 19 4 3
-115.25464538950963,8,0 6 17 5 2 17 7 2 17 5 2 1
-27.99356823084227,8,0 6 0 5 2 7 2 5 2 1 10 4 3 15 3
-43.625314920000505,8,6 0 7 2 1 5 2 5 2 1 4 3 15 3
