epoch,lr,time,loss
0,3.125e-05,11:36:40,3.606468915939331
1,6.25e-05,11:36:45,3.582331886658302
2,0.000125,11:36:54,3.5172619086045485
3,0.00025,11:36:59,3.2314435885502744
4,0.0005,11:37:04,2.974079434688275
5,0.001,11:37:09,2.815960618165823
6,0.001,11:37:14,2.543826020680941
7,0.001,11:37:19,2.2205405143591075
8,0.001,11:37:25,1.9224754847013032
9,0.001,11:37:30,1.6743673361264741
10,0.001,11:37:35,1.4476286172866821
11,0.001,11:37:40,1.2304743115718548
12,0.001,11:37:45,1.03140527009964
13,0.001,11:37:51,0.8605994513401618
14,0.001,11:37:56,0.7150974365381094
15,0.001,11:38:01,0.5969257469360645
16,0.001,11:38:06,0.5039917540091735
17,0.001,11:38:11,0.4296232289992846
18,0.001,11:38:16,0.3695127459672781
19,0.001,11:38:21,0.3265597315934988
20,0.001,11:38:26,0.2914341367208041
21,0.001,11:38:31,0.26432745445233125
22,0.001,11:38:36,0.24564250100117463
23,0.001,11:38:42,0.2286038605066446
24,0.001,11:38:50,0.21559076183117354
25,0.001,11:38:56,0.20738729662620103
26,0.001,11:39:01,0.19705644765725502
27,0.001,11:39:06,0.18876727842367613
28,0.001,11:39:11,0.18429603026463434
29,0.001,11:39:16,0.1756943166255951
30,0.001,11:39:25,0.17160775340520418
31,0.001,11:39:30,0.16781052488547105
32,0.001,11:39:35,0.16449053585529327
33,0.001,11:39:40,0.15939154303990877
34,0.001,11:39:45,0.16292220210799804
35,0.001,11:39:50,0.15928530005308297
36,0.001,11:39:55,0.15254729298444894
37,0.001,11:40:01,0.14858004164237243
38,0.001,11:40:06,0.1472637475683139
39,0.001,11:40:11,0.14359004107805398
40,0.001,11:40:19,0.14158357794468218
41,0.001,11:40:24,0.13826603986896002
42,0.001,11:40:29,0.13679826230956957
43,0.001,11:40:35,0.13673349269307578
44,0.001,11:40:40,0.13436346157239035
45,0.001,11:40:45,0.13291139126970217
46,0.001,11:40:50,0.13192205818799826
47,0.001,11:40:55,0.1324055610367885
48,0.001,11:41:00,0.12954735813232568
49,0.001,11:41:05,0.12870929906001458
50,0.001,11:41:10,0.12779601434102425
51,0.001,11:41:15,0.12658339309004638
52,0.001,11:41:20,0.12722555089455384
53,0.001,11:41:25,0.12624061164947656
54,0.001,11:41:30,0.12478388616671929
55,0.001,11:41:36,0.12386456762368862
56,0.001,11:41:44,0.12329486327675673
57,0.001,11:41:49,0.12242810256206073
58,0.001,11:41:54,0.12232208223297046
59,0.001,11:41:59,0.12073734058783604
60,0.001,11:42:04,0.12161302509216163
61,0.001,11:42:10,0.12051210781702629
62,0.001,11:42:15,0.11925394861744
63,0.001,11:42:20,0.11902563044658074
64,0.001,11:42:25,0.11844189780262801
65,0.001,11:42:30,0.11854227116474739
66,0.001,11:42:35,0.11784852697299077
67,0.001,11:42:44,0.11762801127938124
68,0.001,11:42:49,0.11605350931103413
69,0.001,11:42:54,0.11706764107713333
70,0.001,11:42:59,0.11669456786834277
71,0.001,11:43:05,0.1158988756629137
72,0.001,11:43:10,0.11609081121591422
73,0.001,11:43:15,0.11538775666401936
74,0.001,11:43:20,0.11528349581819314
75,0.001,11:43:25,0.1143071920825885
76,0.001,11:43:30,0.11469811459000294
77,0.001,11:43:35,0.1132618489746864
78,0.001,11:43:40,0.113456320304137
79,0.001,11:43:45,0.11471717776014255
80,0.001,11:43:50,0.11361354360213646
81,0.001,11:43:55,0.11344383255793498
82,0.001,11:44:00,0.11314303743151519
83,0.001,11:44:06,0.11200502801399964
84,0.001,11:44:14,0.1114487054829414
85,0.001,11:44:19,0.11208323647196476
86,0.001,11:44:25,0.11167128928578816
87,0.001,11:44:30,0.113039420487789
88,0.001,11:44:35,0.11186145733182247
89,0.001,11:44:40,0.11262591469746369
